order_id,customer_id,order_date,revenue,items_count,used_coupon,returned,channel
O0000051,C000014,2023-05-30,22.11,4,0,1,web
O0000052,C000014,2023-08-10,40.06,4,1,0,app
O0000053,C000014,2023-09-22,35.5,6,0,0,web
O0000054,C000014,2023-12-25,13.78,2,1,0,store
O0000055,C000014,2025-04-22,12.24,2,0,0,app
O0000056,C000015,2024-10-03,11.65,3,0,0,web
O0000057,C000016,2024-06-03,37.17,2,1,0,app
O0000058,C000016,2024-07-12,40.58,5,0,0,store
O0000059,C000016,2024-12-05,33.38,3,0,0,app
O0000060,C000016,2025-03-30,27.41,5,0,0,store
O0000061,C000017,2024-05-06,18.1,5,0,0,web
O0000062,C000018,2024-03-01,16.63,4,1,0,app
O0000063,C000018,2024-09-07,41.86,3,1,0,app
O0000064,C000018,2024-12-20,78.39,3,0,0,store
O0000065,C000020,2023-02-14,8.16,3,0,0,store
O0000066,C000021,2023-04-23,44.86,4,0,0,web
O0000067,C000021,2023-09-06,18.84,6,1,0,web
O0000068,C000021,2023-12-29,33.78,2,0,0,app
O0000069,C000021,2024-03-10,31.69,5,0,0,web
O0000070,C000022,2023-12-29,8.85,1,1,0,store
O0000071,C000022,2024-03-04,37.56,3,0,0,web
O0000072,C000022,2024-09-05,19.75,4,1,0,web
O0000073,C000022,2025-02-26,19.59,5,0,0,web
O0000074,C000023,2024-09-12,24.33,6,0,0,web
O0000075,C000024,2024-03-27,167.35,1,0,0,web
O0000076,C000024,2024-09-08,22.71,4,1,0,app
O0000077,C000025,2023-12-06,28.62,5,1,0,web
O0000078,C000025,2024-02-09,16.45,6,0,0,web
O0000079,C000025,2024-03-17,24.39,6,0,0,app
O0000080,C000025,2024-08-26,22.5,1,0,1,web
O0000081,C000026,2023-03-06,23.61,3,0,0,app
O0000082,C000026,2024-06-09,69.53,4,0,0,app
O0000083,C000026,2024-06-21,12.0,3,0,0,web
O0000084,C000026,2024-10-10,23.72,5,0,0,web
O0000085,C000027,2023-06-09,31.24,5,1,0,app
O0000086,C000027,2023-08-12,13.59,3,0,0,app
O0000087,C000027,2023-11-16,54.73,3,1,0,store
O0000088,C000027,2024-01-11,29.49,5,1,0,web
O0000089,C000027,2024-02-09,6.87,5,1,0,app
O0000090,C000027,2024-09-14,62.05,1,0,0,web
O0000091,C000028,2023-12-02,36.26,2,0,0,app
O0000092,C000028,2024-06-11,,1,0,0,web
O0000093,C000028,2024-11-10,32.26,2,0,0,app
O0000094,C000028,2025-02-21,30.92,5,0,0,app
O0000095,C000028,2025-03-09,22.68,4,0,0,store
O0000096,C000028,2025-03-13,7.91,4,0,0,web
O0000097,C000029,2023-04-28,15.19,5,1,0,web
O0000098,C000029,2024-02-15,22.62,1,0,0,web
O0000099,C000030,2024-12-10,17.85,4,0,0,web
O0000100,C000031,2023-02-01,37.28,2,0,0,web
O0000101,C000031,2023-03-29,16.55,2,0,0,web
O0000102,C000031,2023-12-10,17.71,6,0,0,web
O0000103,C000032,2023-07-04,15.79,5,0,0,store
O0000104,C000032,2025-03-18,28.15,1,0,0,app
O0000105,C000032,2025-08-30,11.42,4,1,0,app
O0000106,C000033,2023-04-20,20.61,3,0,0,app
O0000107,C000033,2023-05-24,28.57,1,0,0,store
O0000108,C000033,2023-07-16,46.34,1,1,0,web
O0000109,C000033,2023-10-07,16.95,1,0,0,web
O0000110,C000033,2024-01-16,14.9,2,0,0,store
O0000111,C000033,2024-11-29,45.55,6,0,0,store
O0000112,C000033,2025-01-16,16.64,3,1,0,app
O0000113,C000033,2025-03-25,25.05,4,0,0,app
O0000114,C000033,2025-06-10,30.91,6,1,0,app
O0000115,C000033,2025-08-04,35.97,1,0,0,web
O0000116,C000034,2023-09-18,20.17,1,0,0,store
O0000117,C000034,2024-04-06,12.73,3,1,0,app
O0000118,C000034,2024-07-17,24.96,5,0,0,web
O0000119,C000034,2025-01-03,16.28,2,0,0,web
O0000120,C000034,2025-07-24,16.68,6,0,0,web
O0000121,C000035,2023-04-24,24.68,5,0,0,web
O0000122,C000035,2023-11-23,18.43,1,0,0,app
O0000123,C000035,2024-03-25,43.13,1,0,0,store
O0000124,C000035,2024-09-11,15.73,3,0,0,store
O0000125,C000035,2025-03-08,18.26,6,0,0,web
O0000126,C000036,2023-03-13,10.2,2,1,0,web
O0000127,C000036,2023-06-02,9.21,1,0,1,app
O0000128,C000036,2023-12-08,10.7,3,0,0,web
O0000129,C000036,2024-08-29,9.37,1,0,0,app
O0000130,C000037,2023-08-11,41.24,4,0,0,web
O0000131,C000037,2023-10-30,9.37,4,0,0,web
O0000132,C000038,2023-05-12,98.45,5,0,0,web
O0000133,C000038,2023-08-01,10.68,5,0,0,web
O0000134,C000038,2024-01-24,46.74,6,0,0,web
O0000135,C000038,2024-02-26,16.64,6,1,0,web
O0000136,C000038,2024-05-25,27.05,4,0,0,web
O0000137,C000038,2024-07-08,38.07,3,0,0,web
O0000138,C000038,2025-03-21,31.48,6,0,0,web
O0000139,C000040,2023-05-24,31.58,6,0,1,store
O0000140,C000040,2024-12-18,46.8,1,0,0,store
O0000141,C000040,2025-03-07,18.74,4,0,0,app
O0000142,C000041,2023-02-20,19.96,6,0,0,web
O0000143,C000041,2024-07-24,17.84,2,0,0,web
O0000144,C000041,2024-09-02,31.45,2,0,0,app
O0000145,C000042,2023-07-03,24.58,2,1,0,web
O0000146,C000042,2024-01-07,28.72,2,0,1,web
O0000147,C000042,2025-01-16,18.65,2,0,0,web
O0000148,C000042,2025-06-05,18.64,5,0,0,web
O0000149,C000042,2025-08-09,12.0,3,0,0,web
O0000150,C000043,2023-02-05,13.48,6,1,0,store
O0000151,C000043,2023-02-13,52.24,6,0,0,web
O0000152,C000043,2023-03-21,60.43,3,0,0,store
O0000153,C000043,2023-04-19,23.5,1,1,0,web
O0000154,C000043,2023-05-19,9.66,5,1,0,web
O0000155,C000043,2023-06-03,26.16,4,0,0,web
O0000156,C000043,2023-06-20,26.08,5,1,0,web
O0000157,C000043,2023-07-04,35.45,1,0,0,store
O0000158,C000043,2023-09-03,19.98,5,0,0,app
O0000159,C000043,2023-09-30,12.06,6,0,0,app
O0000160,C000043,2024-02-09,21.79,2,1,0,store
O0000161,C000043,2024-02-18,14.01,5,0,0,app
O0000162,C000043,2024-02-24,64.15,3,1,1,web
O0000163,C000043,2024-04-23,15.84,1,0,0,store
O0000164,C000043,2024-06-16,16.34,4,0,0,app
O0000165,C000043,2024-09-02,23.0,4,0,0,web
O0000166,C000043,2024-10-15,11.73,4,0,0,app
O0000167,C000043,2024-12-05,18.36,5,0,0,web
O0000168,C000043,2025-06-30,21.88,5,1,0,app
O0000169,C000043,2025-08-10,17.92,1,0,0,app
O0000170,C000043,2025-08-23,20.49,3,0,0,store
O0000171,C000045,2023-05-18,23.49,5,0,0,store
O0000172,C000045,2023-05-20,46.17,6,0,0,web
O0000173,C000045,2023-07-12,28.04,5,0,1,app
O0000174,C000045,2023-11-22,16.11,1,0,0,app
O0000175,C000045,2023-12-27,12.03,4,0,1,app
O0000176,C000045,2024-07-12,21.73,1,0,0,web
O0000177,C000045,2024-09-19,40.81,2,0,0,store
O0000178,C000045,2024-12-25,10.87,5,0,0,web
O0000179,C000045,2025-03-05,9.41,4,0,1,web
O0000180,C000045,2025-04-18,31.73,5,1,0,app
O0000181,C000046,2023-04-15,169.66,2,0,0,web
O0000182,C000046,2023-04-25,23.98,5,0,0,app
O0000183,C000046,2023-09-10,19.06,6,1,0,web
O0000184,C000046,2024-06-26,16.62,6,0,0,app
O0000185,C000046,2024-10-03,11.72,5,0,0,web
O0000186,C000046,2024-12-07,8.14,4,1,0,web
O0000187,C000046,2025-05-29,22.6,3,1,0,web
O0000188,C000047,2023-05-24,18.29,6,0,1,app
O0000189,C000047,2023-08-12,13.19,4,0,0,web
O0000190,C000047,2023-08-24,23.79,6,0,0,web
O0000191,C000047,2023-10-28,24.29,3,0,0,app
O0000192,C000047,2024-08-18,20.59,4,0,0,web
O0000193,C000048,2025-01-18,9.61,1,0,0,app
O0000194,C000049,2023-08-09,24.51,6,0,0,web
O0000195,C000049,2023-11-15,32.4,4,1,0,store
O0000196,C000049,2024-01-05,12.83,3,1,0,app
O0000197,C000049,2024-07-23,48.76,2,0,1,app
O0000198,C000049,2025-02-08,38.37,6,1,0,web
O0000199,C000049,2025-05-12,20.35,4,0,0,store
O0000200,C000050,2023-03-12,15.83,1,0,0,web
O0000201,C000050,2024-05-09,93.28,4,0,0,store
O0000202,C000050,2024-11-25,41.01,4,0,0,store
O0000203,C000051,2023-07-30,19.28,1,0,0,store
O0000204,C000051,2024-07-08,32.22,1,0,0,web
O0000205,C000052,2024-10-08,43.14,1,0,0,web
O0000206,C000052,2025-02-10,12.46,2,0,0,app
O0000207,C000053,2023-12-05,24.62,5,0,0,web
O0000208,C000053,2024-08-06,39.53,1,0,0,app
O0000209,C000054,2023-03-09,19.39,2,0,0,store
O0000210,C000054,2023-04-22,39.8,4,0,1,web
O0000211,C000054,2023-10-28,21.8,2,0,0,web
O0000212,C000055,2023-04-17,29.25,6,0,0,web
O0000213,C000055,2023-04-27,28.56,4,1,0,web
O0000214,C000055,2024-02-12,51.06,2,0,0,store
O0000215,C000055,2024-04-20,60.34,3,1,0,web
O0000216,C000055,2024-05-16,42.63,3,0,0,store
O0000217,C000055,2024-05-16,17.18,3,0,1,web
O0000218,C000055,2024-10-06,11.27,2,1,0,web
O0000219,C000055,2024-11-17,13.2,3,0,0,app
O0000220,C000055,2025-03-16,8.85,5,1,0,web
O0000221,C000055,2025-06-01,66.14,2,1,0,web
O0000222,C000055,2025-08-29,21.4,2,1,0,web
O0000223,C000056,2024-10-30,53.02,4,0,0,app
O0000224,C000057,2023-07-13,21.2,2,0,0,app
O0000225,C000057,2023-08-24,20.56,5,0,0,app
O0000226,C000057,2023-10-08,53.37,3,1,0,store
O0000227,C000057,2023-12-06,24.44,6,0,0,web
O0000228,C000057,2023-12-27,16.48,1,0,0,web
O0000229,C000057,2024-02-04,13.98,2,0,1,web
O0000230,C000057,2024-03-23,23.14,6,0,0,web
O0000231,C000057,2024-08-15,43.78,4,0,0,app
O0000232,C000057,2024-09-02,17.23,3,0,0,app
O0000233,C000057,2024-10-17,13.31,2,0,0,app
O0000234,C000057,2024-11-29,40.4,4,1,0,web
O0000235,C000057,2025-04-26,24.78,6,0,0,web
O0000236,C000057,2025-08-24,23.61,4,0,0,app
O0000237,C000058,2023-09-18,18.5,1,0,0,store
O0000238,C000058,2024-01-07,47.35,2,0,0,app
O0000239,C000058,2024-02-21,28.24,4,0,0,app
O0000240,C000058,2024-04-08,10.7,6,0,0,web
O0000241,C000058,2024-08-15,32.22,1,1,0,web
O0000242,C000058,2025-01-18,13.41,4,0,0,web
O0000243,C000058,2025-04-27,27.54,1,1,0,store
O0000244,C000058,2025-04-28,47.68,1,0,0,app
O0000245,C000058,2025-06-09,78.63,6,0,0,app
O0000246,C000059,2023-10-14,49.86,3,1,0,app
O0000247,C000060,2023-04-05,17.25,3,0,0,web
O0000248,C000060,2023-04-19,14.7,2,0,0,web
O0000249,C000060,2024-10-04,37.67,6,0,0,web
O0000250,C000061,2023-10-20,60.99,5,1,0,web
O0000251,C000061,2024-04-23,19.2,6,0,0,web
O0000252,C000061,2024-09-29,24.46,2,1,0,app
O0000253,C000061,2025-01-17,29.51,5,0,0,web
O0000254,C000062,2023-12-11,28.03,5,0,0,web
O0000255,C000062,2025-04-17,63.88,3,0,0,web
O0000256,C000062,2025-05-12,14.45,2,0,0,web
O0000257,C000063,2023-06-26,26.73,4,0,0,store
O0000258,C000063,2023-11-28,29.85,3,0,0,web
O0000259,C000063,2025-07-07,,4,0,0,web
O0000260,C000065,2023-08-16,25.12,1,0,0,app
O0000261,C000065,2024-10-04,28.32,2,0,0,web
O0000262,C000065,2024-10-22,18.01,5,0,0,store
O0000263,C000066,2023-03-18,59.57,2,0,0,web
O0000264,C000066,2023-04-08,38.24,3,0,0,store
O0000265,C000066,2023-08-16,29.89,1,1,0,web
O0000266,C000066,2023-09-15,9.6,2,0,0,web
O0000267,C000066,2023-11-04,29.08,2,0,0,web
O0000268,C000066,2023-11-08,18.36,3,1,0,web
O0000269,C000066,2024-01-31,29.55,2,0,0,web
O0000270,C000066,2024-06-06,39.42,2,0,0,store
O0000271,C000066,2024-10-09,15.7,5,1,0,web
O0000272,C000066,2025-01-16,26.81,5,0,0,app
O0000273,C000066,2025-03-18,38.65,2,0,0,app
O0000274,C000067,2023-10-24,17.95,2,0,0,web
O0000275,C000067,2023-11-30,20.07,2,0,0,web
O0000276,C000067,2024-11-26,20.78,5,1,0,web
O0000277,C000067,2025-07-07,25.54,5,0,0,app
O0000278,C000067,2025-07-30,20.84,5,0,0,app
O0000279,C000068,2023-07-27,33.92,2,0,0,web
O0000280,C000068,2023-11-18,26.4,2,0,0,web
O0000281,C000069,2023-05-09,47.18,3,1,0,web
O0000282,C000069,2024-06-04,11.46,2,0,0,web
O0000283,C000069,2024-09-15,25.23,1,0,0,web
O0000284,C000069,2024-10-02,54.32,6,1,0,web
O0000285,C000069,2025-04-11,29.3,6,1,0,store
O0000286,C000070,2023-03-31,16.66,3,0,0,web
O0000287,C000070,2023-10-26,13.17,3,0,0,app
O0000288,C000070,2024-05-09,34.88,4,0,0,web
O0000289,C000070,2025-02-05,40.69,2,1,0,web
O0000290,C000072,2023-03-23,9.86,4,0,0,app
O0000291,C000072,2023-06-21,12.26,4,0,0,app
O0000292,C000072,2023-12-07,30.26,3,0,0,app
O0000293,C000072,2024-04-10,22.51,3,1,0,app
O0000294,C000072,2024-11-09,25.44,6,0,0,web
O0000295,C000072,2024-11-10,44.21,5,0,0,web
O0000296,C000072,2025-05-09,13.31,4,0,0,web
O0000297,C000072,2025-05-20,43.74,1,0,0,web
O0000298,C000072,2025-07-19,28.94,4,1,0,app
O0000299,C000073,2024-04-20,43.23,6,0,0,web
O0000300,C000073,2024-12-20,36.15,1,0,0,app
O0000301,C000073,2025-07-27,47.57,6,0,0,app
O0000302,C000074,2023-04-05,14.91,3,0,0,web
O0000303,C000074,2023-06-23,26.34,2,0,0,web
O0000304,C000074,2024-06-05,11.48,1,0,0,web
O0000305,C000074,2024-07-18,31.29,1,0,0,store
O0000306,C000074,2024-08-02,19.73,2,0,0,app
O0000307,C000074,2024-08-17,38.69,3,0,0,web
O0000308,C000074,2024-09-22,18.4,6,0,0,web
O0000309,C000074,2024-10-05,16.29,2,0,0,store
O0000310,C000074,2025-02-12,29.12,3,1,0,web
O0000311,C000074,2025-02-18,45.8,2,1,1,app
O0000312,C000075,2024-05-24,22.69,6,0,0,app
O0000313,C000075,2024-07-21,14.91,3,1,0,web
O0000314,C000076,2023-12-12,52.52,4,0,1,web
O0000315,C000076,2024-12-06,34.93,2,1,0,web
O0000316,C000076,2024-12-20,27.21,5,0,0,web
O0000317,C000076,2025-03-18,31.76,4,0,0,app
O0000318,C000076,2025-06-17,30.07,2,0,0,store
O0000319,C000077,2023-11-16,20.84,4,0,0,web
O0000320,C000077,2023-12-09,31.57,4,0,0,web
O0000321,C000077,2024-01-26,51.05,5,0,0,web
O0000322,C000077,2024-02-10,17.99,4,0,0,web
O0000323,C000077,2024-04-10,13.53,5,1,0,store
O0000324,C000077,2025-01-25,73.03,5,0,0,app
O0000325,C000079,2023-09-21,29.77,2,1,0,app
O0000326,C000079,2023-11-30,18.15,4,1,0,store
O0000327,C000079,2024-06-15,27.43,2,0,0,app
O0000328,C000079,2024-07-28,15.4,6,0,1,web
O0000329,C000079,2024-08-31,18.63,4,0,0,app
O0000330,C000079,2024-12-16,13.28,3,0,0,app
O0000331,C000079,2024-12-25,29.86,2,1,0,app
O0000332,C000081,2025-05-15,34.1,4,0,0,app
O0000333,C000082,2024-06-09,15.0,3,0,0,web
O0000334,C000083,2023-10-08,5.45,3,0,0,web
O0000335,C000083,2023-10-14,7.11,4,0,0,web
O0000336,C000083,2024-09-17,19.48,1,0,0,web
O0000337,C000083,2025-04-09,22.23,3,0,0,web
O0000338,C000083,2025-06-07,32.23,4,0,1,store
O0000339,C000083,2025-08-02,11.69,6,0,0,app
O0000340,C000084,2024-01-13,21.87,1,0,0,app
O0000341,C000084,2024-06-27,11.48,1,0,0,app
O0000342,C000085,2023-05-14,21.92,1,1,0,web
O0000343,C000085,2024-03-13,22.06,1,1,0,web
O0000344,C000086,2025-07-28,50.48,6,0,0,web
O0000345,C000087,2023-07-27,18.52,1,0,0,store
O0000346,C000087,2023-08-26,24.56,6,0,1,web
O0000347,C000087,2023-10-04,13.07,2,0,0,app
O0000348,C000087,2024-06-14,27.58,4,1,0,app
O0000349,C000087,2024-10-29,18.26,5,1,0,web
O0000350,C000087,2025-02-06,17.54,6,0,0,web
O0000351,C000087,2025-06-12,41.91,1,1,0,web
O0000352,C000088,2023-11-15,22.73,6,0,0,app
O0000353,C000088,2023-11-20,31.32,3,1,0,web
O0000354,C000088,2024-07-04,45.2,2,0,0,app
O0000355,C000088,2024-08-07,37.11,3,0,0,app
O0000356,C000088,2024-12-05,41.34,6,1,0,web
O0000357,C000088,2025-06-28,26.16,1,0,0,app
O0000358,C000088,2025-07-08,35.27,6,0,0,web
O0000359,C000089,2023-04-29,44.72,3,0,0,web
O0000360,C000089,2024-06-08,19.77,3,0,0,web
O0000361,C000089,2024-08-13,10.47,3,0,0,app
O0000362,C000089,2025-06-25,16.35,3,0,0,web
O0000363,C000090,2025-05-29,29.21,2,0,0,app
O0000364,C000091,2023-10-03,11.03,2,1,0,app
O0000365,C000091,2024-11-04,9.37,4,0,0,app
O0000366,C000092,2024-07-18,22.56,6,0,0,web
O0000367,C000092,2024-07-24,19.94,3,1,0,web
O0000368,C000092,2024-10-05,16.48,3,0,0,web
O0000369,C000092,2024-12-06,9.05,1,0,0,app
O0000370,C000092,2025-01-08,9.43,1,0,0,web
O0000371,C000092,2025-02-03,16.02,4,0,0,app
O0000372,C000092,2025-02-20,20.53,2,0,0,app
O0000373,C000092,2025-08-02,40.24,3,0,0,web
O0000374,C000093,2023-02-28,9.17,5,0,0,web
O0000375,C000093,2023-06-06,20.57,4,0,0,store
O0000376,C000093,2023-08-31,28.84,1,0,0,app
O0000377,C000093,2024-04-07,13.68,6,0,0,web
O0000378,C000093,2024-08-21,26.63,3,0,0,web
O0000379,C000093,2024-10-27,18.54,6,0,0,web
O0000380,C000093,2025-01-21,12.48,3,0,0,app
O0000381,C000095,2025-05-27,40.93,2,0,0,app
O0000382,C000096,2025-01-28,40.21,4,0,0,web
O0000383,C000097,2023-03-04,39.28,1,0,0,web
O0000384,C000097,2024-02-22,26.74,1,0,0,web
O0000385,C000097,2025-01-30,30.45,2,1,0,web
O0000386,C000097,2025-02-05,12.0,4,1,0,web
O0000387,C000097,2025-06-05,23.38,2,0,0,app
O0000388,C000098,2023-04-24,10.16,2,0,0,web
O0000389,C000098,2023-06-21,13.84,6,0,0,app
O0000390,C000098,2024-12-24,14.31,5,1,0,app
O0000391,C000099,2023-07-20,16.91,6,1,0,web
O0000392,C000099,2023-09-30,24.69,4,0,0,web
O0000393,C000099,2023-11-03,18.87,3,0,0,web
O0000394,C000099,2024-06-03,31.42,1,0,0,app
O0000395,C000099,2025-03-15,24.33,6,0,0,app
O0000396,C000099,2025-04-09,10.96,6,0,1,web
O0000397,C000099,2025-05-17,6.6,4,0,0,app
O0000398,C000099,2025-07-05,40.49,4,0,0,app
O0000399,C000099,2025-07-31,17.01,5,1,0,app
O0000400,C000100,2024-03-10,28.77,1,0,0,store
O0000401,C000100,2024-08-11,10.5,5,0,0,web
O0000402,C000100,2024-08-16,18.97,5,1,0,web
O0000403,C000100,2024-10-29,36.29,3,0,0,web
O0000404,C000100,2025-01-09,14.43,2,0,0,web
O0000405,C000101,2023-11-29,21.95,2,0,0,
O0000406,C000102,2023-06-09,22.42,3,0,0,app
O0000407,C000102,2023-12-02,18.54,5,0,0,web
O0000408,C000102,2024-03-18,32.12,1,1,0,store
O0000409,C000102,2024-06-19,32.68,6,1,0,web
O0000410,C000102,2024-08-22,25.08,3,0,0,web
O0000411,C000102,2024-10-01,13.32,1,0,0,web
O0000412,C000102,2024-10-12,18.31,6,0,0,web
O0000413,C000102,2024-11-27,12.3,4,1,0,web
O0000414,C000102,2024-12-20,20.43,5,0,0,web
O0000415,C000102,2024-12-20,24.77,1,0,0,web
O0000416,C000102,2025-01-06,53.15,1,0,0,app
O0000417,C000102,2025-03-05,51.14,6,0,1,web
O0000418,C000102,2025-06-25,34.13,6,0,0,web
O0000419,C000102,2025-06-30,39.74,3,1,0,web
O0000420,C000102,2025-08-27,26.7,4,0,0,store
O0000421,C000103,2023-09-27,35.08,4,0,0,web
O0000422,C000103,2023-09-27,21.57,1,1,0,app
O0000423,C000103,2023-11-29,23.08,2,0,0,web
O0000424,C000103,2024-06-05,17.03,6,1,0,app
O0000425,C000103,2024-08-03,25.11,6,0,0,app
O0000426,C000103,2024-08-25,8.76,3,1,0,app
O0000427,C000103,2024-11-18,100.64,6,0,0,web
O0000428,C000103,2025-02-01,15.96,4,0,0,web
O0000429,C000103,2025-02-25,24.51,5,0,0,web
O0000430,C000103,2025-05-10,17.88,5,0,0,web
O0000431,C000103,2025-05-19,17.74,5,0,0,app
O0000432,C000104,2023-05-18,11.96,2,1,0,store
O0000433,C000104,2023-09-29,36.53,5,1,1,app
O0000434,C000104,2023-12-05,36.76,1,0,0,web
O0000435,C000104,2024-07-19,51.72,2,1,0,web
O0000436,C000104,2024-10-05,34.54,1,0,0,store
O0000437,C000104,2024-12-19,17.62,2,0,1,web
O0000438,C000104,2025-04-22,41.59,6,0,1,web
O0000439,C000104,2025-08-28,16.36,1,0,0,web
O0000440,C000105,2025-01-15,25.8,3,1,0,web
O0000441,C000106,2024-05-24,25.82,2,0,0,web
O0000442,C000106,2024-11-22,9.91,6,0,0,app
O0000443,C000106,2025-08-03,19.28,6,0,0,web
O0000444,C000108,2023-03-21,22.44,1,0,0,app
O0000445,C000108,2023-05-30,11.15,2,0,0,web
O0000446,C000108,2023-07-01,47.83,5,0,0,app
O0000447,C000108,2024-05-10,19.89,2,0,0,web
O0000448,C000108,2024-05-12,20.36,1,1,0,app
O0000449,C000108,2025-05-30,11.01,2,1,0,store
O0000450,C000108,2025-08-30,9.27,6,0,0,app
O0000451,C000109,2023-07-27,38.37,6,0,0,app
O0000452,C000109,2023-11-14,45.76,1,0,0,app
O0000453,C000109,2024-06-01,20.21,5,0,0,store
O0000454,C000109,2024-08-04,31.16,2,0,0,web
O0000455,C000109,2024-09-02,18.88,3,0,0,web
O0000456,C000109,2024-11-05,32.16,6,0,0,store
O0000457,C000110,2023-06-27,19.97,1,0,0,store
O0000458,C000111,2023-10-19,17.82,2,0,0,web
O0000459,C000111,2024-08-14,13.85,5,0,0,web
O0000460,C000111,2025-03-21,23.87,3,0,0,store
O0000461,C000111,2025-04-17,11.82,6,0,0,web
O0000462,C000112,2023-03-01,12.91,5,0,0,app
O0000463,C000112,2024-04-07,41.16,4,0,0,app
O0000464,C000112,2024-07-09,12.81,5,1,0,web
O0000465,C000112,2024-07-14,65.27,6,0,0,web
O0000466,C000112,2024-07-19,25.83,6,0,0,app
O0000467,C000112,2024-10-08,8.27,5,0,0,web
O0000468,C000112,2024-11-17,36.79,6,1,0,app
O0000469,C000112,2024-11-29,67.52,5,1,0,web
O0000470,C000112,2025-04-21,19.83,4,0,0,store
O0000471,C000112,2025-05-21,41.01,1,0,0,web
O0000472,C000112,2025-07-19,20.3,5,1,0,store
O0000473,C000113,2023-02-07,26.71,2,1,0,store
O0000474,C000113,2023-07-15,36.0,2,0,0,web
O0000475,C000113,2024-01-29,20.09,1,0,0,store
O0000476,C000113,2024-03-03,46.71,6,0,0,web
O0000477,C000113,2025-03-14,16.71,3,1,0,app
O0000478,C000113,2025-07-04,24.45,6,0,0,web
O0000479,C000115,2023-02-01,23.8,1,0,0,web
O0000480,C000115,2023-03-28,28.0,6,1,0,app
O0000481,C000115,2023-08-23,9.95,1,0,0,app
O0000482,C000115,2023-11-08,28.2,5,0,0,web
O0000483,C000115,2023-12-24,80.46,5,1,0,web
O0000484,C000115,2024-03-28,15.59,4,1,0,web
O0000485,C000115,2024-05-11,21.56,6,1,1,web
O0000486,C000115,2024-07-19,34.19,3,1,0,web
O0000487,C000115,2024-09-03,45.41,4,0,0,web
O0000488,C000115,2024-10-22,15.99,6,0,0,app
O0000489,C000115,2024-11-01,13.57,1,0,0,app
O0000490,C000115,2024-12-23,13.22,3,0,1,web
O0000491,C000115,2025-03-05,42.76,5,0,0,app
O0000492,C000115,2025-03-24,38.33,1,1,0,app
O0000493,C000115,2025-03-27,6.94,2,0,0,web
O0000494,C000115,2025-05-05,7.04,4,0,0,web
O0000495,C000117,2023-05-15,32.86,2,0,0,store
O0000496,C000117,2023-06-06,70.71,5,0,1,web
O0000497,C000117,2023-08-23,18.64,6,0,0,web
